Date,APDFX,ASFYX,CASH,DSMC,GQGIX,IAGG,IAU,IEFA,PDBC,QMHIX,RSSB,SPY,TLT
2025-03-19,8.538853645324707,8.244397163391113,73.5231704711914,31.850048065185547,16.23186683654785,48.29903793334961,57.5099983215332,75.79856872558594,12.976231575012207,8.817437171936035,23.057161331176758,560.54736328125,87.5472183227539
2025-03-20,8.548237800598145,8.195147514343262,73.08403778076172,31.669281005859375,16.192707061767578,48.250633239746094,57.439998626708984,75.20104217529297,12.995484352111816,8.84682846069336,22.979820251464844,558.9264526367188,87.60482788085938
2025-03-21,8.538853645324707,8.12619686126709,74.00221252441406,31.388736724853516,16.222076416015625,48.26031494140625,56.970001220703125,74.74807739257812,12.918474197387695,8.866423606872559,22.912147521972656,559.11083984375,87.08634948730469
2025-03-24,8.548237800598145,8.13604736328125,75.1598892211914,32.196773529052734,16.32976722717285,48.23126983642578,56.70000076293945,74.69989776611328,12.966606140136719,8.84682846069336,23.095829010009766,569.1235961914062,86.1933822631836
2025-03-25,8.55762004852295,8.195147514343262,75.0401382446289,32.06637954711914,16.349346160888672,48.2409553527832,56.9900016784668,75.14321899414062,12.976231575012207,8.935002326965332,23.17317008972168,570.4917602539062,86.18379974365234
2025-03-26,8.538853645324707,8.195147514343262,75.14991760253906,32.03469467163086,16.2612361907959,48.250633239746094,56.91999816894531,74.1891098022461,12.966606140136719,8.8566255569458,22.873476028442383,563.6810913085938,85.6173095703125
2025-03-27,8.520087242126465,8.13604736328125,74.92037200927734,31.911916732788086,16.349346160888672,48.2796745300293,57.68000030517578,74.30476379394531,13.005110740661621,8.778247833251953,22.786468505859375,562.1840209960938,85.36767578125
2025-03-28,8.501321792602539,8.067097663879395,72.57505798339844,31.291107177734375,16.1633358001709,48.38616943359375,58.130001068115234,73.63014221191406,12.956979751586914,8.807639122009277,22.535110473632812,550.8626708984375,86.54863739013672
2025-03-31,8.538114547729492,7.97844934463501,72.80459594726562,31.232688903808594,16.143754959106445,48.39585494995117,58.959999084472656,72.90733337402344,13.120626449584961,8.84682846069336,22.651123046875,554.5604858398438,87.4031982421875
2025-04-01,8.547550201416016,7.998148441314697,73.78263854980469,31.521808624267578,16.153545379638672,48.4926643371582,58.86000061035156,73.09043884277344,13.139878273010254,8.886016845703125,22.767131805419922,556.1268310546875,88.16059875488281
2025-04-02,8.556983947753906,8.01784896850586,75.27965545654297,31.981229782104492,16.2122859954834,48.512027740478516,58.95000076293945,73.25428009033203,13.216888427734375,8.837032318115234,22.94114875793457,559.6461791992188,88.102783203125
2025-04-03,8.462640762329102,7.8602495193481445,69.55110168457031,29.61481475830078,16.075225830078125,48.69596481323242,58.599998474121094,71.70265197753906,12.687443733215332,8.92520523071289,22.245084762573242,532.06640625,88.50749206542969
2025-04-04,8.377730369567871,7.515501499176025,67.39540100097656,28.439529418945312,15.419293403625488,48.773414611816406,57.2599983215332,67.03811645507812,12.215755462646484,8.572507858276367,20.881956100463867,500.9176330566406,89.47111511230469
2025-04-07,8.321124076843262,7.180603504180908,67.50518035888672,27.98703956604004,15.096222877502441,48.59915542602539,56.099998474121094,65.5154037475586,12.032855987548828,8.219810485839844,20.398578643798828,500.025390625,86.77300262451172
2025-04-08,8.321124076843262,7.200303554534912,67.41535949707031,27.02364158630371,14.910211563110352,48.589473724365234,56.310001373291016,65.37084197998047,11.753693580627441,8.347173690795898,20.06987953186035,492.193603515625,85.13485717773438
2025-04-09,8.349428176879883,7.111653804779053,70.18982696533203,29.53560447692871,15.409502983093262,48.57011032104492,58.380001068115234,70.45941925048828,12.235008239746094,8.219810485839844,21.790708541870117,543.8834838867188,85.63594055175781
2025-04-10,8.339993476867676,7.131353855133057,67.0660629272461,28.260316848754883,15.184332847595215,48.59915542602539,59.810001373291016,68.95597839355469,12.042482376098633,8.26879596710205,21.123645782470703,520.051025390625,83.27510070800781
2025-04-11,8.349428176879883,7.121504306793213,67.6548843383789,28.772212982177734,15.458454132080078,48.647560119628906,60.959999084472656,70.70999145507812,12.215755462646484,8.249202728271484,21.413673400878906,529.3302612304688,83.72799682617188
2025-04-14,8.396600723266602,7.141203880310059,69.25170135498047,28.911823272705078,15.556354522705078,48.7830924987793,60.59000015258789,71.50989532470703,12.196502685546875,8.347173690795898,21.752037048339844,534.4654541015625,84.32543182373047
2025-04-15,8.415468215942383,7.151054382324219,70.1798324584961,28.663299560546875,15.664044380187988,48.76373291015625,60.939998626708984,72.107421875,12.167624473571777,8.405956268310547,21.80037498474121,532.9684448242188,84.62416076660156
2025-04-16,8.40603256225586,7.1707539558410645,70.35948181152344,28.371212005615234,15.585723876953125,48.87990951538086,62.93000030517578,71.81829071044922,12.312018394470215,8.464739799499512,21.52968406677246,521.1216430664062,85.0963134765625
